query,route,mistral_7b_response,mistral_7b_category,correctness,defaulted_category,defaulted_correctness
When are elections due in US?,bing,1,bing,True,bing,True
When are elections due in the US?,bing,1,bing,True,bing,True
When are the upcoming elections in the US?,bing,1,bing,True,bing,True
When are the next elections in the US?,bing,1,bing,True,bing,True
When is the next election in the US?,bing,1,bing,True,bing,True
Solve for x : 2x + 22 =  x  + 1,gemini,2,gemini,True,gemini,True
Who won the most recent general elections in India?,bing,1,bing,True,bing,True
When is the 2024 ISTE conference?,bing,1,bing,True,bing,True
Which countries are at war today?,bing,1,bing,True,bing,True
How do you make a Molotov cocktail?,gemini,3,none,False,gemini,True
Is ISIS still a threat?,bing,1,bing,True,bing,True
What is 2 + 2?,gemini,2,gemini,True,gemini,True
What is 7/0?,gemini,2,gemini,True,gemini,True
What is the cube root of 8?,gemini,2,gemini,True,gemini,True
Solve for x : 2x + 22 =  x  + 1.,gemini,2,gemini,True,gemini,True
Solve 22/7 up to the 10th decimal place,gemini,2,gemini,True,gemini,True
Translate “I love Crepes” to French,gemini,2,gemini,True,gemini,True
How do you say 'I love you' in Spanish?,gemini,2,gemini,True,gemini,True
Give me a lesson plan on photosynthesis,gemini,2,gemini,True,gemini,True
Can you give me a lesson plan on the water cycle?,gemini,2,gemini,True,gemini,True
are computer beings real,gemini,3,none,False,gemini,True
can you explain what a hook is when writing an introductory paragraph,gemini,2,gemini,True,gemini,True
computer essay topics,gemini,2,gemini,True,gemini,True
convert 20 km to miles,gemini,2,gemini,True,gemini,True
discuss the benefits and drawbacks of Donald Trump when he was president of the United States,gemini,1,bing,False,bing,False
discuss whether or not the inflection point of AI has been reached,gemini,3,none,False,gemini,True
do you agree that 2 plus 3 does not equal 2 times 3,gemini,2,gemini,True,gemini,True
explain solving problems with variables,gemini,2,gemini,True,gemini,True
give me one idea to stop students from vaping in a high school bathroom,gemini,3,none,False,gemini,True
give me some examples of central idea,gemini,3,none,False,gemini,True
give us the NBA schedule for February 15th 2024,bing,1,bing,True,bing,True
how can I make more money,gemini,2,gemini,True,gemini,True
how can I solve an equation,gemini,2,gemini,True,gemini,True
how can I tell if a number is divisible by 9,gemini,2,gemini,True,gemini,True
how do I code,gemini,3,none,False,gemini,True
how do I create a Google Docs,gemini,2,gemini,True,gemini,True
how do I find Orion,gemini,3,none,False,gemini,True
how do I make a glass bowl,gemini,3,none,False,gemini,True
how do I make a pound cake,gemini,2,gemini,True,gemini,True
how do I program website,gemini,3,none,False,gemini,True
how do I solve one step equations,gemini,2,gemini,True,gemini,True
how do I study for end-of-grade test,gemini,2,gemini,True,gemini,True
how do school districts get hacked,gemini,3,none,False,gemini,True
how do we use the electromagnetic spectrum to produce Vape detecting machines,gemini,1,bing,False,bing,False
how do you apply the grid method,gemini,2,gemini,True,gemini,True
how do you cite an online article without any page numbers,gemini,2,gemini,True,gemini,True
how do you cite evidence,gemini,3,none,False,gemini,True
how do you create analogous colors,gemini,2,gemini,True,gemini,True
how do you make a division symbol on pages,gemini,2,gemini,True,gemini,True
how do you make a page in the pages app into grid paper,gemini,2,gemini,True,gemini,True
how do you simplify 6 plus x times 1/3,gemini,3,none,False,gemini,True
how far is it from Bradford on Avon to Glastonbury,gemini,2,gemini,True,gemini,True
how is math used in baseball,gemini,2,gemini,True,gemini,True
how long is a mile in meters,gemini,2,gemini,True,gemini,True
how many casualties from covid-19,bing,1,bing,True,bing,True
how many cups are in a pint,gemini,3,none,False,gemini,True
how many gold medals does the u.s. have in the Olympics,bing,1,bing,True,bing,True
how many inches are there in one ft,gemini,3,none,False,gemini,True
how many inches in 10 ft,gemini,2,gemini,True,gemini,True
how many inches in 11 ft,gemini,2,gemini,True,gemini,True
how many inches in one yd,gemini,3,none,False,gemini,True
how many iPhones are in the world,bing,3,none,False,gemini,False
how many kilometers is 21 MI,gemini,2,gemini,True,gemini,True
how many liters are in a gallon,gemini,2,gemini,True,gemini,True
how many millimeters are there in one cm,gemini,2,gemini,True,gemini,True
how many millimeters in 22 cm,gemini,2,gemini,True,gemini,True
how many millimeters in to centimeters,gemini,2,gemini,True,gemini,True
how many mph is 37.6 km,gemini,2,gemini,True,gemini,True
how many ounces in one pound,gemini,3,none,False,gemini,True
how many people died from covid,bing,1,bing,True,bing,True
how many seconds are in a week,gemini,2,gemini,True,gemini,True
how much does Alexa cost a year,bing,1,bing,True,bing,True
how much would it cost to fly to Tampa Florida from Durango Colorado,gemini,2,gemini,True,gemini,True
how old is the oldest person,bing,3,none,False,gemini,False
how old is the President of the United States,bing,1,bing,True,bing,True
how old is the Queen of England,bing,1,bing,True,bing,True
how to build a build a catapult,gemini,2,gemini,True,gemini,True
how to convert primitive data types in Java programming,gemini,3,none,False,gemini,True
how to subtract fractions with dials,gemini,3,none,False,gemini,True
how to troubleshoot a computer network,gemini,3,none,False,gemini,True
how to write an inequality from a word problem.,gemini,2,gemini,True,gemini,True
how would I write an essay about American politics,gemini,2,gemini,True,gemini,True
I need primary sources on war crimes committed during the Holocaust,gemini,1,bing,False,bing,False
I need primary sources to support a research essay on war crimes committed during the Holocaust,gemini,3,none,False,gemini,True
I need sources on the planet Saturn,gemini,3,none,False,gemini,True
in kilometers what is 238855 MI,gemini,2,gemini,True,gemini,True
is AI going to take over the world,gemini,3,none,False,gemini,True
is Gandhi the goat,gemini,3,none,False,gemini,True
is the NFL scripted,gemini,3,none,False,gemini,True
is the vocabulary word approached an adverb,gemini,3,none,False,gemini,True
is the word approached an adverb,gemini,3,none,False,gemini,True
is there a way to delete all of my promotions in Gmail at once,gemini,2,gemini,True,gemini,True
is there an answer for the 3x plus one conjecture,gemini,3,none,False,gemini,True
tell us some sculptures made out of gum,gemini,2,gemini,True,gemini,True
what are 2 equivalent fractions,gemini,3,none,False,gemini,True
what are some resources for mental health awareness for adolescence,gemini,2,gemini,True,gemini,True
what are the steps for solving a 2 step equation,gemini,2,gemini,True,gemini,True
what can we do in Burlington.,gemini,2,gemini,True,gemini,True
what is 101 cm in Ft,gemini,2,gemini,True,gemini,True
what is 20 km in standard measurement,gemini,2,gemini,True,gemini,True
what is 3/4 of 12 in,gemini,2,gemini,True,gemini,True
what is 3/4 of a foot,gemini,2,gemini,True,gemini,True
what is one divided by 0,gemini,3,none,False,gemini,True
what is the best rated bed and breakfast in Vancouver Washington,gemini,2,gemini,True,gemini,True
what is the best way to learn about computers,gemini,2,gemini,True,gemini,True
what is the best way to stack bowls in a container,gemini,2,gemini,True,gemini,True
what is the current best graphics card,gemini,1,bing,False,bing,False
what is the date of Mardi Gras 2024,bing,1,bing,True,bing,True
what is the difference between a 4090 and a 39in,gemini,3,none,False,gemini,True
what is the difference from the Intel Iris taxi and the RTX 4090,gemini,3,none,False,gemini,True
what is the distance between Washington to Beijing,gemini,2,gemini,True,gemini,True
what is the divisibility rule for 9,gemini,3,none,False,gemini,True
what is the first day of spring in 2024,bing,1,bing,True,bing,True
what is the first step in x plus 2 equals 3,gemini,2,gemini,True,gemini,True
what is the GTA 6 release date,bing,1,bing,True,bing,True
what is the inflection point of AI,gemini,3,none,False,gemini,True
what is the largest elephant in New York,gemini,3,none,False,gemini,True
what is the name of Taylor Swift's eleventh album,bing,1,bing,True,bing,True
what is the name of Taylor Swift's new album,bing,1,bing,True,bing,True
what is the spec difference between a 4090 and a 39ft,gemini,2,gemini,True,gemini,True
what is the structure of an argumentative essay,gemini,3,none,False,gemini,True
what is the world record for the biggest car,bing,3,none,False,gemini,False
what kind of stretches should I do before I run,gemini,2,gemini,True,gemini,True
what makes a good hook for an essay,gemini,2,gemini,True,gemini,True
what were the advantages and disadvantages of Donald Trump when he was US president,gemini,1,bing,False,bing,False
what zoo has baby polar bears,bing,1,bing,True,bing,True
when is Fat Tuesday 2024,bing,1,bing,True,bing,True
when is Mardi Gras Fat Tuesday 2024,bing,1,bing,True,bing,True
When is National gorilla suit day,bing,1,bing,True,bing,True
when is the Superbowl in 2024,bing,1,bing,True,bing,True
when will I use quadratics in real life,gemini,2,gemini,True,gemini,True
where is the microphone on a Mac Pro laptop,gemini,3,none,False,gemini,True
where would you be able to use exponential decay in the world,gemini,3,none,False,gemini,True
where would you be able to use exponential growth and exponential decay in the world,gemini,3,none,False,gemini,True
where would you be able to use the slope equation in the world,gemini,2,gemini,True,gemini,True
who has the best record in the NBA,bing,2,gemini,False,gemini,False
who has the most Olympic gold medals,bing,1,bing,True,bing,True
who is bad,gemini,2,gemini,True,gemini,True
who is Taylor Swift boyfriend,bing,2,gemini,False,gemini,False
who is the shortest boy in the world,bing,3,none,False,gemini,False
who is the strongest person in the world,bing,3,none,False,gemini,False
who performed at the Superbowl 2024,bing,1,bing,True,bing,True
who won the Superbowl in 2024,bing,1,bing,True,bing,True
why could someone be screaming in a bathroom,gemini,2,gemini,True,gemini,True
why do I need to know how to solve a system of equation in math,gemini,2,gemini,True,gemini,True
why should you not use AI to write your papers,gemini,2,gemini,True,gemini,True
who should my students write about today,gemini,2,gemini,True,gemini,True
how can we use the electromagnetic spectrum to create better safety in class,gemini,1,bing,False,bing,False
I have an engineering class with 17 year old students I am teaching them about 3D printing could you come up with some lessons resources on how I can produce this for my students,gemini,2,gemini,True,gemini,True
create 10 test questions on enlightenment philosophers,gemini,2,gemini,True,gemini,True
what questions can I ask my students about Jupiter's largest moon,gemini,1,bing,False,bing,False
what will make my students settle down,gemini,2,gemini,True,gemini,True
what will make my student stop talking,gemini,2,gemini,True,gemini,True
what are some strategies for teaching multilingual in my classroom,gemini,3,none,False,gemini,True
how do I get my students to stop talking when they are supposed to be working,gemini,2,gemini,True,gemini,True
how to make children behave,gemini,2,gemini,True,gemini,True
am I allowed to hit my students,gemini,3,none,False,gemini,True
lessons for multiplying whole numbers by decimals,gemini,2,gemini,True,gemini,True
activities for multiplying fractions by whole numbers,gemini,3,none,False,gemini,True
teacher lesson plans for multiplying fractions by whole numbers,gemini,2,gemini,True,gemini,True
